date,tradition,title,epistle,gospel,matins,vespers,other
2030-01-21,slavic,Monday of the 35th week after Pentecost,Hebrews 8.7-13,Mark 8.11-21,,,
2030-01-22,greek,Tuesday of the 35th week after Pentecost,"Hebrews 9.8-10, 15-23 || 2 Timothy 1.3-8 ~ St. Timothy","Mark 8.22-26 || Matthew 10.32-33, 37-38, 19.27-30 ~ St. Timothy",,,
2030-01-22,slavic,Tuesday of the 35th week after Pentecost,"Hebrews 9.8-10, 15-23",Mark 8.22-26,,,
2030-01-23,greek,Wednesday of the 35th week after Pentecost,Hebrews 10.1-18 || Philippians 3.20-4.3 ~ St. Clement,Mark 8.30-34 || Mark 2.23-3.5 ~ St. Clement,,,
2030-01-23,slavic,Wednesday of the 35th week after Pentecost,Hebrews 10.1-18,Mark 8.30-34,,,
2030-01-24,greek,Thursday of the 35th week after Pentecost,Hebrews 10.35-11.7 || Galatians 5.22-6.2 ~ Xenia of Rome,Mark 9.10-15,,,
2030-01-24,slavic,Thursday of the 35th week after Pentecost,Hebrews 10.35-11.7 || 2 Corinthians 4.6-15 ~ St Theodosius,Mark 9.10-16 || Matthew 11.27-30 ~ St Theodosius,Luke 6.17-23,Wisdom of Solomon 3.1-9 || Wisdom of Solomon 5.15-6.3 || Wisdom of Solomon 4.7-15,
2030-01-25,greek,Friday of the 35th week after Pentecost,"Hebrews 11.8, 11-16 || Hebrews 7.26-8.2 ~ St. Gregory",Mark 9.33-41 || John 10.9-16 ~ St Gregory,John 10.1-9,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2030-01-25,slavic,Friday of the 35th week after Pentecost,"Hebrews 11.8, 11-16",Mark 9.33-41,,,
2030-01-26,greek,Saturday of the 35th week after Pentecost,Ephesians 5.1-8,Luke 14.1-11,,,
2030-01-26,slavic,Saturday of the 35th week after Pentecost,Ephesians 6.10-17 ~ Saturday after Theophany || Ephesians 5.1-8,Matthew 4.1-11 ~ Saturday after Theophany || Luke 14.1-11,,,
