feast_id,image_path,license,credit,source,kind,tag,title,era,by
FF-0012,icons/permission/theophany-works/feasts/FF-0012-icon-of-the-transfiguration-of-christ-00ftr0.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-transfiguration-of-christ-00ftr001/,shop,Available to order,Transfiguration of Christ,,Theophany Works
FF-0013,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-icon-f129.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-icon-f129/,shop,Available to order,Dormition of the Theotokos,,Legacy Icons
FF-0013,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-icon-f130.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-icon-f130/,shop,Available to order,Dormition of the Theotokos,,Legacy Icons
FF-0013,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-icon-f131.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-icon-f131/,shop,Available to order,Dormition of the Theotokos,,Legacy Icons
FF-0013,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-xvc-icon-f261.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-xvc-icon-f261/,shop,Available to order,Dormition of the Theotokos,15th c.,Legacy Icons
FF-0013,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-xxic-icon-f217.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-xxic-icon-f217/,shop,Available to order,Dormition of the Theotokos,21st c.,Legacy Icons
FF-0013,icons/permission/theophany-works/feasts/FF-0013-21st-c.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-dormition-of-the-theotokos-21st-c-00fdt003/,shop,Available to order,Dormition of the Theotokos,21st c.,Theophany Works
FF-0013,icons/permission/theophany-works/feasts/FF-0013-dormition.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-dormition-of-the-theotokos-00fdt001/,shop,Available to order,Dormition of the Theotokos,,Theophany Works
FF-0016,icons/permission/legacy-icons/feasts/FF-0016-saints-peter-and-paul-s698.jpg,Permission:legacy-icons,,https://legacyicons.com/saints-peter-and-paul-s698/,shop,Available to order,Saints Peter and Paul,,Legacy Icons
FF-0016,icons/permission/legacy-icons/feasts/FF-0016-saints-peter-and-paul-xviiic-icon-s140.jpg,Permission:legacy-icons,,https://legacyicons.com/saints-peter-and-paul-xviiic-icon-s140/,shop,Available to order,Saints Peter and Paul,18th c.,Legacy Icons
FF-0016,icons/permission/legacy-icons/feasts/FF-0016-saints-peter-and-paul-xxic-icon-s230.jpg,Permission:legacy-icons,,https://legacyicons.com/saints-peter-and-paul-xxic-icon-s230/,shop,Available to order,Saints Peter and Paul,21st c.,Legacy Icons
FF-0016,icons/permission/legacy-icons/feasts/FF-0016-the-apostles-communion-whirledge-icon-f389.jpg,Permission:legacy-icons,,https://legacyicons.com/the-apostles-communion-whirledge-icon-f389/,shop,Available to order,The Apostles' Communion (Whirledge),,Legacy Icons
FF-0017,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-icon-f130.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-icon-f130/,shop,Available to order,Dormition of the Theotokos,,Legacy Icons
FF-0017,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-icon-f131.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-icon-f131/,shop,Available to order,Dormition of the Theotokos,,Legacy Icons
FF-0017,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-xvc-icon-f261.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-xvc-icon-f261/,shop,Available to order,Dormition of the Theotokos,15th c.,Legacy Icons
FF-0017,icons/permission/legacy-icons/feasts/FF-0013-dormition-of-the-theotokos-xxic-icon-f217.jpg,Permission:legacy-icons,,https://legacyicons.com/dormition-of-the-theotokos-xxic-icon-f217/,shop,Available to order,Dormition of the Theotokos,21st c.,Legacy Icons
FF-0018,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-bamberg-icon-f279.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-bamberg-icon-f279/,shop,Available to order,Nativity of Christ (Bamberg),,Legacy Icons
FF-0018,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-crete-xvc-icon-f295.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-crete-xvc-icon-f295/,shop,Available to order,"Nativity of Christ (Crete, XVc)",15th c.,Legacy Icons
FF-0018,icons/permission/legacy-icons/feasts/FF-0005-nativity-of-christ-xvc-icon-f161.jpg,Permission:legacy-icons,,https://legacyicons.com/nativity-of-christ-xvc-icon-f161/,shop,Available to order,Nativity of Christ,15th c.,Legacy Icons
FF-0018,icons/permission/theophany-works/feasts/FF-0005-icon-of-the-nativity-of-christ-christmas-21s.jpg,Permission:theophany-works,,https://theophanyworks.com/icon-of-the-nativity-of-christ-christmas-21st-c-00fnc003/,shop,Available to order,Nativity of Christ (Christmas) - 21st c.,21th c.,Theophany Works
FF-0020,icons/permission/legacy-icons/feasts/FF-0020-saint-john-the-baptist-chimev-icon-s689.jpg,Permission:legacy-icons,,https://legacyicons.com/saint-john-the-baptist-chimev-icon-s689/,shop,Available to order,Saint John the Baptist (Chimev),,Legacy Icons
FF-0020,icons/permission/theophany-works/feasts/FF-0020-st-john-the-forerunner-and-baptist-angelic-m.jpg,Permission:theophany-works,,https://theophanyworks.com/st-john-the-forerunner-and-baptist-angelic-messenger-00stjb05/,shop,Available to order,St. John The Forerunner and Baptist -Angelic Messenger,,Theophany Works
